Speech Duration,Pitch,Speech Rate,Jitter,Shimmer,MFCCs,Mood
8.08,157.53,107,0.061,0.031,"[-1.485, 4.983, 8.643, -6.558, -1.174, 5.711, 4.247, 3.896, -7.518, 7.064, 4.092, 5.622, -3.302]",Confused
9.43,302.32,171,0.028,0.025,"[-7.031, -2.695, -7.861, 8.205, -1.905, 7.316, 3.926, 4.298, -7.02, 7.232, 5.268, 8.659, 6.784]",Angry
9.1,245.49,155,0.021,0.065,"[7.395, -5.853, 7.652, -1.956, 8.559, 2.775, -6.956, -4.874, 2.227, -8.674, 3.124, -1.141, 5.525]",Happy
6.14,220.01,182,0.013,0.032,"[3.351, -2.702, -4.066, 2.301, -8.993, -5.996, -6.87, -2.404, -5.836, -2.409, -4.373, 3.798, -5.168]",Excited
5.68,223.79,147,0.088,0.014,"[-0.816, 2.823, 6.055, 2.053, 2.707, -7.442, 7.478, -6.994, 2.998, 9.089, -9.122, 5.152, -1.858]",Happy
14.79,233.18,139,0.095,0.072,"[-7.659, -2.42, 2.224, 7.047, 3.759, -4.062, -7.405, -6.898, -2.594, -8.588, 4.475, -5.29, -9.28]",Fearful
12.62,154.72,106,0.079,0.038,"[-8.797, -5.309, -8.698, -0.356, -8.152, -3.273, 6.886, -8.021, 7.557, -3.016, 6.677, 1.811, -8.814]",Neutral
13.88,179.92,113,0.056,0.061,"[5.8, 1.186, -1.266, -0.718, 4.053, -8.52, 7.403, -8.127, -6.147, 6.493, 6.652, -6.48, -4.747]",Confused
10.8,258.8,193,0.072,0.017,"[-1.289, 3.212, 5.229, -3.575, -2.682, 8.882, -0.018, 6.742, 5.901, -2.897, -9.492, -4.164, -6.923]",Angry
12.59,149.49,53,0.075,0.035,"[4.108, -3.979, 5.922, -4.733, -2.961, 9.193, 2.748, -6.968, 3.411, 9.492, -5.239, 6.049, -6.766]",Bored
9.17,214.87,147,0.031,0.062,"[-9.845, -4.979, -8.143, -5.134, -1.685, 6.444, 8.336, -5.076, 0.471, -2.448, -7.529, 0.493, -2.385]",Happy
14.66,215.74,132,0.034,0.053,"[-3.506, 2.92, -8.495, 5.339, -9.053, 9.861, -4.124, -7.116, 8.318, -0.325, -3.622, -7.209, 1.703]",Fearful
7.4,287.51,142,0.039,0.081,"[-0.878, -2.441, 2.95, -8.057, -2.405, 6.452, 1.344, 6.518, -7.59, -7.679, 2.562, 8.307, -6.265]",Angry
8.45,216,148,0.026,0.021,"[4.264, -6.569, -8.344, 1.235, 7.768, -5.58, -3.771, 9.854, 9.544, -8.189, -5.719, -3.877, -3.533]",Fearful
9.07,325.72,180,0.02,0.075,"[-9.798, -5.171, 1.357, 3.493, 9.087, 1.052, -7.222, -3.124, -6.884, 1.168, -2.988, -8.22, -2.292]",Angry
4.69,277.7,157,0.018,0.03,"[2.448, -5.148, -6.709, -3.254, 9.866, -9.277, 4.709, -0.673, 9.085, -2.145, -6.308, -2.975, -1.504]",Surprised
5.61,234.32,199,0.032,0.063,"[1.313, 9.961, 2.849, -3.771, 4.204, 5.305, 7.919, 0.725, -4.704, -2.602, 0.854, 8.729, 8.648]",Excited
8.84,147.7,114,0.01,0.027,"[-9.775, -7.341, -3.955, -7.869, -0.558, -8.128, 6.671, 8.74, 2.505, -5.827, 2.011, 3.062, 9.509]",Neutral
9.73,209.63,124,0.049,0.031,"[5.539, 0.364, 6.732, 6.242, -2.848, 8.268, -5.662, -3.652, 1.784, -5.483, -3.512, -2.473, 8.608]",Fearful
6.74,219.16,156,0.096,0.032,"[-3.803, 7.391, 5.561, 4.319, -6.949, 7.399, 7.028, 2.668, -0.463, 8.543, -5.606, 4.24, 2.705]",Happy
6.27,284.74,160,0.077,0.052,"[-8.235, -3.182, 8.551, 2.927, 8.963, -2.208, -1.795, 2.47, -4.538, 5.659, 7.252, -5.067, -2.983]",Surprised
8.2,223.22,154,0.071,0.085,"[5.359, 3.591, -7.702, 9.574, 9.472, -3.102, 6.768, 6.089, -6.999, -1.248, -6.389, 8.356, -9.338]",Fearful
11.89,162.01,114,0.081,0.081,"[-3.091, -0.165, 9.686, 2.44, 9.639, -8.366, 4.722, -1.223, -3.535, 0.362, 5.713, 2.36, -0.567]",Confused
16.72,113.43,90,0.012,0.038,"[-8.697, -6.077, 3.2, 8.394, 1.394, 7.632, -3.748, 7.336, 5.044, 9.909, -6.278, -1.466, 2.206]",Sad
13.8,189.28,99,0.041,0.098,"[-2.937, 4.714, -7.233, -6.541, -7.283, 4.002, -9.793, 8.607, -6.938, -9.273, -7.286, 6.273, 2.044]",Confused
16.09,142.45,91,0.092,0.02,"[9.646, -0.759, -4.014, -9.542, -4.859, -7.021, -6.338, 7.618, -0.445, -6.381, -8.696, 2.989, 4.705]",Calm
6.4,218.08,192,0.094,0.012,"[-6.838, 5.267, -8.716, -6.985, 7.789, 4.54, 9.829, -0.452, -5.997, -8.204, 0.124, 6.592, 7.952]",Excited
16.79,140.9,50,0.053,0.067,"[4.117, -1.989, -6.83, 0.379, -2.361, 9.407, 4.14, 8.333, 2.013, 0.459, 2.906, 2.06, -2.712]",Sad
13.72,104.02,63,0.015,0.048,"[2.554, -6.736, -9.91, 4.811, 5.12, 0.157, -7.596, -5.03, 7.898, 0.38, -6.69, 3.968, 4.67]",Sad
3.55,245.13,138,0.072,0.046,"[-2.146, 5.033, 2.555, 0.253, -6.559, -9.13, 7.851, 4.5, -9.665, 9.405, 4.647, -2.947, -4.775]",Surprised
12.15,185.45,114,0.084,0.058,"[1.211, 5.19, -9.311, -5.894, -1.344, -4.947, 0.158, 1.094, -3.219, -0.68, 4.726, 6.829, 8.608]",Fearful
10.81,207.78,153,0.097,0.082,"[-4.961, 8.298, -1.832, -9.48, 6.14, 0.785, -8.803, -8.469, 8.675, 6.1, 5.105, -1.406, -5.39]",Excited
18.47,164.79,58,0.015,0.072,"[5.333, -3.254, 1.911, 4.906, -3.533, -0.814, -7.997, -6.861, -1.998, 4.4, 3.717, 8.055, 1.244]",Bored
8.36,200.62,144,0.056,0.019,"[-6.246, -1.259, -6.184, 5.181, -3.739, -5.93, 9.405, -5.187, -4.915, 3.71, -7.176, 8.854, -8.115]",Fearful
13.75,241.27,140,0.038,0.09,"[-7.742, 8.237, 9.015, 8.554, -3.295, 1.812, -4.535, 0.728, 9.597, -1.483, 6.396, -2.5, -0.992]",Fearful
8.7,223.51,136,0.081,0.065,"[1.814, -1.12, 2.815, 4.531, -1.552, 8.897, -0.211, -6.829, -1.453, -3.805, 7.163, 1.862, -8.992]",Happy
7.84,293.34,142,0.089,0.032,"[5.954, -2.572, 6.79, 0.138, -7.386, -8.781, -1.476, 2.4, 8.21, 0.161, -5.865, 7.886, 3.452]",Surprised
3.23,274.03,141,0.014,0.034,"[4.478, -2.725, 2.959, 5.508, -8.218, 3.137, -7.785, 1.679, -7.18, -5.415, -0.068, 8.687, -3.113]",Surprised
15.74,140.86,127,0.085,0.023,"[-7.935, 6.15, -8.868, 4.029, -7.369, 9.681, -4.767, 2.043, 8.798, 3.57, 2.28, -0.134, -2.856]",Calm
5.72,283.96,159,0.037,0.056,"[-3.654, 0.067, -7.861, -2.793, 4.011, -2.111, 0.151, -5.711, -5.08, -1.384, 8.64, 9.873, 5.697]",Surprised
18.25,152.3,67,0.025,0.076,"[-6.978, -7.068, 8.27, -9.411, -0.714, -0.172, 8.567, -9.12, 8.164, 8.233, 6.996, 4.769, -4.842]",Bored
12.49,155.87,95,0.023,0.065,"[-4.831, -7.383, -2.2, -5.416, 7.288, -9.496, 5.07, -4.634, 1.761, -3.194, -6.821, -7.757, 1.938]",Calm
17.6,142.02,105,0.019,0.014,"[-6.565, -1.512, 5.565, 4.879, 6.132, -3.876, 0.382, 2.494, -9.468, 2.737, -5.94, 1.896, -2.466]",Calm
13.38,170.91,92,0.053,0.078,"[-5.161, 0.921, -9.261, -8.302, -3.276, -8.27, 4.661, -9.045, 5.247, 0.058, -5.902, 4.895, 5.666]",Neutral
6.13,224.17,131,0.09,0.055,"[2.828, 2.067, -5.222, -5.89, -0.751, -1.611, -7.338, -8.308, 0.522, -6.69, -9.999, 2.126, -9.909]",Happy
17.41,150.9,60,0.026,0.079,"[-0.427, 7.123, 0.252, -2.921, 6.878, 1.138, -2.342, 5.408, -3.585, -7.189, -8.799, -2.378, -2.311]",Bored
8.55,148.59,103,0.095,0.05,"[-1.123, -3.158, 2.023, -5.725, 1.774, 6.499, -7.571, 5.759, 0.816, -3.374, -3.679, -8.577, 1.366]",Neutral
8.65,205.98,149,0.049,0.042,"[5.03, 2.851, 9.251, 1.466, 7.703, 2.985, 1.249, -8.573, 9.531, 2.243, 1.386, 2.261, 1.332]",Fearful
5.97,239.96,171,0.012,0.047,"[6.184, 9.754, 9.616, 8.075, 0.571, 4.065, 5.762, -2.535, 6.422, 7.917, 7.999, -9.506, -8.659]",Happy
11.66,136.59,90,0.055,0.093,"[-9.277, -4.204, 4.112, -1.964, 2.515, 4.439, -7.99, 3.078, -4.158, -2.349, 5.844, 7.595, 7.172]",Sad
7.98,220.18,154,0.031,0.053,"[9.434, -0.899, 6.105, 5.712, -1.225, -2.004, -2.18, -1.063, -7.346, -0.837, -0.779, -7.07, -3.546]",Happy
10.1,201.13,113,0.064,0.086,"[9.273, 3.563, -1.177, -0.804, -8.322, -3.299, 6.804, 7.202, 7.459, -6.127, -7.039, -2.345, 2.121]",Fearful
8.36,202.17,185,0.077,0.081,"[9.374, 6.019, 3.096, 8.354, 7.202, 1.842, -1.63, 9.011, -6.644, -1.44, -4.137, 6.41, -9.102]",Excited
9.41,256.4,176,0.017,0.011,"[3.364, 2.132, 6.367, -4.114, -3.206, 2.834, -9.005, -9.788, 2.709, -8.687, 5.501, 2.123, -8.434]",Angry
6.41,264.43,150,0.052,0.013,"[8.026, -3.052, 0.18, -0.59, -1.605, 2.919, -7.039, -7.171, -4.156, -9.007, 6.953, 2.075, -8.557]",Excited
11.03,113.52,52,0.016,0.048,"[-2.087, 4.65, -1.321, -5.463, 7.82, 3.535, 0.805, 3.239, 6.748, 9.15, 5.761, -0.747, -9.848]",Sad
15.86,190.21,81,0.096,0.045,"[2.781, 0.202, -8.155, -3.421, 5.615, -0.718, 5.004, 7.292, 3.586, 8.407, -6.614, -2.274, -1.261]",Confused
14.31,156.35,113,0.066,0.025,"[-2.849, -8.142, -7.186, 2.09, -6.167, -0.581, 2.549, -0.074, -0.139, -4.778, -5.433, 3.023, 3.265]",Calm
14.05,149.28,67,0.018,0.092,"[2.198, 0.676, 8.701, 9.068, 3.772, -5.065, -9.63, -3.215, -3.581, -7.551, 9.027, 7.354, 5.212]",Bored
13.77,135.31,68,0.061,0.078,"[8.823, -1.599, -3.732, 6.917, -1.678, -2.928, -0.272, -9.715, -6.555, 3.351, 6.667, -2.087, 2.47]",Bored
5.79,281.1,176,0.028,0.051,"[-9.271, 0.83, -2.957, 3.946, 4.156, 1.457, 2.051, -4.09, -0.543, -8.948, 2.664, -1.049, 9.571]",Angry
5.75,189.13,134,0.048,0.032,"[-5.552, 5.029, 2.02, 7.366, 7.81, 3.765, 6.939, 1.658, 0.851, -4.139, -3.15, -8.216, 6.676]",Happy
8.21,233.37,206,0.039,0.039,"[-5.088, -7.408, 6.654, 3.15, -2.578, -1.253, 1.311, 5.235, -8.166, -6.472, -8.066, 3.975, 3.455]",Excited
16.47,136.99,77,0.018,0.095,"[6.555, 4.727, 3.69, -4.057, -0.633, -1.19, 2.636, -4.046, -0.267, 3.167, 1.926, -8.21, 1.791]",Sad
11.74,195.56,103,0.064,0.05,"[-5.496, -5.072, -3.93, -9.785, -7.201, -8.569, 2.357, 4.709, -1.066, 0.331, 8.961, -1.81, -0.053]",Confused
3.25,236.94,158,0.093,0.016,"[1.107, 8.234, -8.1, 8.171, -2.028, 3.254, 0.382, 5.385, -2.104, -1.961, 5.175, -2.199, 1.424]",Surprised
6.34,245.33,165,0.033,0.094,"[-2.034, -6.967, -4.06, 0.367, -4.358, -3.93, -2.379, 1.771, 9.085, -5.878, 8.674, 9.385, -8.233]",Excited
9.42,263.75,165,0.082,0.028,"[-1.142, -0.8, -2.489, 6.194, 0.351, -2.38, -3.485, -0.69, 5.678, 9.799, 0.332, 6.441, -9.292]",Excited
15,114.84,64,0.1,0.029,"[1.602, 7.377, -3.285, 1.543, -8.075, -1.66, 7.068, 8.265, -1.848, 9.288, -2.447, 7.026, 7.432]",Sad
7.19,315.5,179,0.043,0.094,"[-2.374, 3.094, -7.074, 0.035, 2.635, -8.501, -8.643, -3.09, 0.456, 9.042, -1.331, -0.519, -4.773]",Angry
17.47,140.97,115,0.069,0.088,"[2.758, -8.083, 2.766, 1.843, -8.28, -4.396, -5.152, -9.798, 4.909, 0.752, -8.252, -1.0, -3.22]",Calm
7.71,250.63,140,0.098,0.08,"[-6.981, 6.327, 6.383, -0.519, 6.014, -8.475, -6.428, -5.893, 3.422, 8.451, -8.0, 3.289, 3.152]",Surprised
12.81,261.13,160,0.027,0.02,"[-1.659, 4.324, -5.334, 0.016, 0.762, 8.297, -2.164, 7.428, 1.469, -7.634, 9.15, -7.295, -9.189]",Fearful
9.65,195.56,92,0.042,0.033,"[0.185, -2.126, -1.57, 3.185, 0.291, -1.182, -0.877, -8.374, 2.146, -5.42, 6.363, 5.354, -4.334]",Confused
14.62,174.43,122,0.072,0.044,"[5.755, -6.196, -7.735, -2.652, -7.456, 9.032, 5.48, -3.072, -5.598, 3.566, 2.418, 6.37, -0.644]",Calm
11.22,296.12,194,0.061,0.029,"[3.832, -10.0, -5.327, 5.822, 3.206, -7.992, 1.284, 6.625, -8.304, 7.974, 5.335, 2.083, -1.233]",Angry
8.85,315.82,179,0.017,0.072,"[4.482, 7.06, 9.8, -8.67, 6.089, 3.394, 0.942, 4.562, -6.479, 4.246, -2.893, 9.111, -9.374]",Angry
10.71,158.48,90,0.054,0.097,"[-7.981, -5.967, -4.582, -6.376, 9.077, -1.432, -9.153, 2.338, 7.833, 3.702, 0.3, -9.483, 5.628]",Neutral
12.52,151.15,115,0.064,0.087,"[4.575, 6.392, 9.83, -2.7, 7.129, -3.668, -4.33, -6.74, -1.554, -3.285, -8.861, 8.615, -2.983]",Neutral
13.62,154.8,106,0.029,0.017,"[-4.248, -2.401, 3.002, 6.56, 6.841, 1.217, 5.79, -4.662, 2.137, 0.728, 5.93, 6.453, 3.437]",Calm
4.41,299.97,145,0.048,0.029,"[-5.991, 6.419, -4.867, 9.865, -4.168, 3.012, 9.687, -3.547, 6.482, -9.921, 7.78, 8.532, 8.857]",Surprised
4.49,269.08,130,0.032,0.064,"[-2.969, -7.316, -2.06, -2.735, 1.649, 0.106, 8.389, -9.351, 8.493, -1.274, 2.486, -2.134, 9.568]",Surprised
7.05,230.03,151,0.055,0.044,"[1.594, -0.997, -5.624, -7.11, 1.811, 5.589, -9.882, -9.371, -3.703, 6.369, -2.835, 7.651, -0.754]",Happy
15.4,216.59,76,0.072,0.062,"[-1.561, -0.472, 0.401, -0.772, -1.367, -9.495, 6.525, -4.383, -0.94, 3.251, -8.108, -6.433, 9.867]",Confused
14.66,132.95,70,0.045,0.056,"[0.308, -7.452, 7.933, 7.711, -0.465, 4.359, -5.833, 2.335, -9.621, 9.294, 9.941, 2.349, -0.01]",Sad
13.82,164.95,93,0.037,0.022,"[-5.976, -8.159, -6.233, 1.905, -5.223, 7.46, -5.991, 4.638, -2.382, 4.196, -3.912, 3.616, -7.524]",Neutral
9.09,276.36,147,0.087,0.04,"[-9.608, 3.63, -0.875, -2.147, 1.216, 6.106, -0.189, -0.877, -9.61, -9.932, 6.673, -2.384, 8.995]",Angry
18.05,138.92,59,0.032,0.08,"[1.85, -6.006, 2.066, 1.035, -4.18, -7.737, -7.124, 3.245, 4.907, 9.484, 0.783, 3.252, 8.658]",Sad
8.86,236.13,195,0.026,0.097,"[5.557, 5.593, 3.69, -1.843, -4.462, -0.637, 0.662, -3.327, 0.902, 8.242, -8.645, -3.292, -8.137]",Excited
11.1,141.8,130,0.085,0.037,"[2.075, -7.278, -2.752, -1.708, -1.313, 4.187, 6.588, -5.672, 9.776, 3.357, -5.271, 8.727, 0.592]",Neutral
13.44,187,156,0.094,0.058,"[-9.753, -1.605, 7.991, 6.008, 9.9, 0.904, -2.188, 3.696, 7.711, -2.919, 3.313, 6.007, 2.061]",Fearful
14.05,152.6,94,0.092,0.098,"[4.664, 6.736, 0.456, 3.849, 6.9, -8.418, 3.289, 0.12, 2.021, -0.245, -8.021, 7.691, 3.45]",Calm
14.25,178.22,107,0.016,0.073,"[-4.434, -2.489, 1.845, -0.162, 6.296, -4.754, 4.519, -8.407, 8.335, -5.016, -6.345, -2.521, 8.4]",Neutral
18.53,137.6,53,0.062,0.038,"[-2.962, -7.186, -6.39, -9.583, -9.517, -9.112, 0.688, 5.818, -2.815, 7.109, -6.296, -7.231, -0.706]",Sad
9.62,187.52,151,0.056,0.071,"[0.289, -3.436, 4.601, -7.621, 1.171, -6.979, -2.16, -8.588, 1.479, -3.095, 3.321, -6.705, -8.362]",Happy
10.49,154.1,69,0.033,0.06,"[1.365, -5.819, -4.609, -5.393, 7.2, -4.787, -0.877, -9.736, -7.463, 3.647, 8.628, 5.258, 2.649]",Bored
18.37,126.34,68,0.064,0.012,"[-8.813, -3.432, -9.369, 6.696, 6.782, -1.114, -2.076, 2.277, -0.448, -3.439, 9.137, -6.388, -5.869]",Bored
16.05,172.12,99,0.097,0.092,"[2.743, 0.346, 5.355, -8.958, -4.774, 8.575, 6.293, 6.721, -9.365, -3.151, 1.147, -4.899, -6.898]",Calm
18.58,104.04,73,0.095,0.066,"[-2.689, -3.475, 2.022, 0.203, 5.916, 5.091, 2.794, 9.29, -2.57, -6.444, -3.264, 3.355, 0.661]",Sad
13.33,160.04,104,0.042,0.019,"[-2.73, 8.504, 7.958, 4.52, 6.533, 9.824, -5.061, -7.786, -6.328, -6.641, -7.109, 1.891, -2.217]",Neutral
5.45,220.82,126,0.013,0.026,"[0.987, 4.947, -6.631, -1.861, -9.498, -5.537, -7.408, 9.706, 2.479, 6.388, -3.623, 7.729, 8.068]",Happy
17.16,133.95,78,0.066,0.041,"[2.244, -2.874, 0.572, 2.895, -5.587, 3.386, -2.538, -8.665, -5.106, 0.91, -1.025, -8.306, 1.196]",Sad
12.28,165.3,106,0.045,0.095,"[4.627, 9.467, 1.703, 8.76, 0.118, 7.327, 8.558, 2.01, -5.442, -7.656, 0.532, 9.272, -7.863]",Neutral
8.12,210.57,142,0.033,0.058,"[0.217, -6.741, -4.324, -7.505, 3.141, 9.758, -3.802, -2.862, -1.435, 2.402, -7.963, -9.35, -7.064]",Fearful
11.29,144.6,127,0.036,0.012,"[5.496, 9.763, 3.431, 2.8, 1.319, -2.145, -3.531, 8.063, -6.292, -8.306, -6.151, 0.398, 4.279]",Neutral
13.29,268.74,135,0.084,0.073,"[-3.229, 3.611, -1.682, -7.58, 5.124, 0.264, -2.44, -6.079, 7.962, 1.822, 6.76, 3.784, 3.102]",Fearful
17.58,143.75,129,0.034,0.075,"[-6.038, 5.141, 6.432, 3.121, -8.94, -9.696, 3.478, 4.831, -1.917, 8.23, -9.261, 4.548, 5.966]",Calm
16.91,176.95,100,0.083,0.083,"[4.242, -2.387, 8.363, -4.988, -5.251, 4.222, -1.947, 8.547, -4.624, 7.919, 9.864, 7.069, 9.688]",Calm
9.58,179.41,95,0.019,0.087,"[5.616, 1.817, 1.23, -3.966, 6.689, -9.629, -0.713, 4.477, 5.16, 2.36, 2.511, -2.161, 7.099]",Confused
12.75,139.73,78,0.092,0.1,"[-5.351, 4.25, 5.865, 9.084, -4.051, 2.062, -6.961, -9.328, -5.067, -5.072, 8.372, -5.082, -1.656]",Bored
14.03,156.25,112,0.02,0.022,"[-0.218, 4.934, -7.761, -8.164, 2.844, 5.528, 9.09, -4.12, 2.286, -9.27, 2.584, -4.201, 4.599]",Calm
3.94,234.72,135,0.097,0.08,"[6.724, 6.894, -3.748, -5.851, -1.923, -5.948, -2.233, -9.708, 8.01, -5.067, 3.344, 1.866, 8.727]",Surprised
10.54,259.63,183,0.041,0.094,"[8.256, -2.546, -5.98, 7.138, 3.464, 3.954, 1.733, 9.931, 1.177, 1.099, 1.312, -9.172, -8.994]",Excited
9.08,209.2,128,0.035,0.091,"[9.438, 7.083, -0.513, 8.532, 4.63, 3.627, 9.433, 0.662, 5.968, 5.688, -4.678, -5.636, -6.517]",Happy
11.64,139.6,64,0.051,0.019,"[4.269, -6.723, -1.75, 2.382, 8.497, 8.919, -7.869, -9.116, -2.292, -3.434, -5.959, -3.249, 5.78]",Bored
13.35,198.37,72,0.039,0.047,"[0.845, -2.513, -3.237, 0.727, 4.002, 7.124, 4.244, 5.352, -8.991, -1.71, -0.663, 6.011, -2.594]",Confused
11.27,236.54,128,0.02,0.087,"[-7.263, -1.076, -2.658, -3.333, -1.892, 3.771, 6.271, -6.258, -4.285, -5.505, 4.541, -2.704, -8.318]",Fearful
7.95,250.92,203,0.096,0.08,"[-3.613, 7.548, 2.463, -3.916, -7.558, -7.204, -4.844, -3.881, 1.505, 7.677, -4.566, -6.394, 0.414]",Excited
15.37,168.76,91,0.033,0.02,"[-0.34, 8.319, -9.629, 6.243, -5.249, 2.864, -8.391, -2.571, 2.382, 4.339, 8.578, 2.618, 2.727]",Calm
10.13,256.37,158,0.017,0.084,"[8.716, -6.435, -4.077, 8.451, 1.05, -3.398, -9.026, -0.155, -4.721, 4.503, -6.563, 9.923, -7.961]",Fearful
7.32,186.3,170,0.046,0.06,"[-6.361, -4.591, 7.901, -9.08, 9.06, -1.077, -8.926, 6.189, 6.855, 7.18, 0.855, -1.452, 4.989]",Happy
16.11,167.16,112,0.061,0.076,"[-7.799, 8.82, -6.125, -3.02, -8.468, -0.792, -9.218, -7.603, -5.381, -9.196, 4.795, 6.261, 8.73]",Calm
16.91,163.1,71,0.1,0.061,"[6.456, 0.461, -0.518, -9.472, -0.888, -4.826, 0.722, -8.54, -3.499, 7.608, 9.817, 0.882, -3.102]",Bored
7.82,190.19,121,0.058,0.031,"[-9.494, 0.557, -1.109, -6.777, 3.879, -1.215, 1.905, -0.908, -2.053, 2.007, -2.423, -2.894, 0.617]",Happy
8.25,187.64,136,0.066,0.081,"[2.081, 4.594, -3.03, -8.3, -8.567, -7.387, -7.019, -9.97, -4.602, -1.866, 9.284, 8.646, -8.824]",Happy
14.65,154.91,92,0.038,0.023,"[-4.127, -1.701, 9.709, 4.009, 7.798, 4.595, 8.042, -7.64, 3.227, 9.866, -0.0, 1.364, 8.454]",Calm
5.45,200.54,177,0.022,0.023,"[-2.094, 9.244, -9.155, -8.367, 0.905, -0.74, -4.736, -9.454, -8.341, -8.876, 7.888, 9.747, -2.831]",Happy
13.54,175.39,97,0.062,0.021,"[8.093, 7.146, -8.003, -4.9, -0.092, -7.922, 4.256, 6.026, -8.155, 6.598, 6.867, -0.31, 0.837]",Neutral
15.33,164.59,100,0.089,0.029,"[-1.805, 1.818, -4.872, 2.564, -9.867, 3.603, -0.829, -7.09, 1.698, -8.07, -7.735, 7.094, 1.321]",Calm
5.53,327.3,197,0.018,0.099,"[9.223, -1.112, 7.593, -4.194, 1.179, 2.982, 7.965, -8.437, 5.388, -8.502, -9.016, -9.414, 1.88]",Angry
6.27,348.21,177,0.069,0.093,"[5.285, 4.438, 7.343, -9.397, 8.385, 0.315, -4.608, 6.303, 9.038, -1.105, 5.514, -9.867, -3.453]",Angry
14.33,145.53,101,0.078,0.015,"[-9.888, -7.522, 5.191, -7.522, 3.776, 2.564, 3.01, -9.573, -9.986, 2.004, 4.76, -7.291, -5.17]",Neutral
10.26,187.67,128,0.073,0.058,"[-9.337, 4.122, 0.433, -8.181, 5.096, 5.934, -9.773, 5.735, -8.611, 4.696, 5.469, 0.401, -4.488]",Fearful
3.54,256.6,146,0.03,0.088,"[9.229, -3.886, 0.491, 4.445, 8.732, 3.134, 1.763, 4.442, -6.702, -6.569, -3.295, -9.45, 0.178]",Surprised
14.14,162.34,95,0.059,0.035,"[-0.513, 9.171, -3.133, -9.266, 1.797, 0.559, 3.295, -9.571, 9.878, 9.068, -1.311, 0.546, -4.492]",Neutral
13.53,120.14,67,0.056,0.091,"[1.69, 9.78, 9.742, 5.006, 2.579, 8.797, -2.281, -6.037, -6.575, 6.464, 0.318, -5.118, -6.428]",Sad
8.61,227.37,110,0.014,0.089,"[5.296, -1.891, 9.807, -7.167, -5.927, 7.513, -9.775, 9.883, -0.28, -4.235, -5.308, -8.312, -1.478]",Fearful
17.02,141.37,58,0.013,0.096,"[4.222, -6.046, -7.13, -6.755, 4.936, 6.771, 0.064, -4.785, -3.848, 2.617, -8.048, -8.436, -5.943]",Sad
12.07,166.98,91,0.04,0.08,"[-0.779, 1.115, 3.33, -0.898, 3.513, -4.574, 6.214, -2.768, -1.234, -0.416, 8.601, 5.144, -0.26]",Neutral
